sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
409,backup,13,5317,1.154,1656835548,,,,,,
410,backup,13,5330,1.289,1665246346,,,,,,
411,backup,13,5343,1.211,1672556804,,,,,,
412,backup,13,5356,1.205,1677267453,,,,,,
413,backup,13,5369,1.26,1681343561,,,,,,
414,backup,13,5382,1.17,1686004034,,,,,,
415,backup,13,5395,1.114,1688900494,,,,,,
416,backup,13,5408,1.105,1692560930,,,,,,
417,backup,13,5421,1.245,1697280364,,,,,,
418,backup,13,5434,1.112,1699927550,,,,,,
419,backup,13,5447,1.191,1707644120,,,,,,
420,backup,13,5460,1.042,1711343554,,,,,,
421,backup,13,5473,1.093,1713700382,,,,,,
422,backup,13,5486,1.078,1716492331,,,,,,
423,backup,13,5499,1.227,1720456695,,,,,,
424,backup,13,5512,3.258,1725346318,,,,,,
425,backup,13,5525,1.148,1728849605,,,,,,
426,backup,13,5538,1.134,1732617533,,,,,,
427,backup,13,5551,1.086,1735846809,,,,,,
428,backup,13,5564,1.231,1742330342,,,,,,
429,backup,13,5577,1.129,1746154207,,,,,,
430,backup,13,5590,1.128,1749147449,,,,,,
431,backup,13,5603,1.089,1752182728,,,,,,
432,backup,13,5616,1.219,1758345206,,,,,,
433,backup,13,5629,1.071,1761763715,,,,,,
434,backup,13,5642,1.093,1765363350,,,,,,
435,backup,13,5655,1.096,1767877760,,,,,,
436,backup,13,5668,1.084,1770512334,,,,,,
437,backup,13,5681,1.243,1776664113,,,,,,
438,backup,13,5694,1.323,1783231565,,,,,,
439,backup,13,5707,1.261,1787785900,,,,,,
440,backup,13,5720,1.122,1792255762,,,,,,
441,backup,13,5733,1.117,1794987019,,,,,,
442,backup,13,5746,1.134,1798641322,,,,,,
443,backup,13,5759,1.112,1801576017,,,,,,
444,backup,13,5772,1.122,1804838306,,,,,,
445,backup,13,5785,1.169,1809310334,,,,,,
446,backup,13,5798,1.113,1812362251,,,,,,
447,backup,13,5811,1.245,1818530243,,,,,,
448,backup,13,5824,1.128,1822029079,,,,,,
449,backup,13,5837,1.117,1825578864,,,,,,
450,backup,13,5850,1.139,1829500847,,,,,,
451,backup,13,5863,1.09,1832316376,,,,,,
452,backup,13,5876,1.103,1835788410,,,,,,
453,backup,13,5889,1.12,1838924635,,,,,,
454,backup,13,5902,1.224,1846024657,,,,,,
455,backup,13,5915,1.17,1849707951,,,,,,
456,backup,13,5928,1.123,1853291357,,,,,,
457,backup,13,5941,1.164,1858052512,,,,,,
458,backup,13,5954,1.169,1862760952,,,,,,
459,backup,13,5967,1.111,1866182245,,,,,,
460,backup,13,5980,1.143,1869865482,,,,,,
461,backup,13,5993,1.109,1873105236,,,,,,
462,backup,13,6006,1.153,1876866090,,,,,,
463,backup,13,6019,1.362,1887039460,,,,,,
464,backup,13,6032,1.126,1890969503,,,,,,
465,backup,13,6045,1.166,1895422202,,,,,,
466,backup,13,6058,1.112,1897594117,,,,,,
